RouteName,Display,RT_TYPEA,RT_TYPEB,RouteID,Direction
002i,2,US,2,002,i
002COBROWNEi,2,US,2,002COBROWNE,i
002CODIVISNi,2,US,2,002CODIVISN,i
002CONEWPRTi,2,US,2,002CONEWPRT,i
002FD00186i,2,LC,4,002FD00186,i
002FD00504i,2,LC,4,002FD00504,i
002FI00126i,2,LC,4,002FI00126,i
002FI00389i,2,LC,4,002FI00389,i
002LX00239i,2,LC,4,002LX00239,i
002LX00851i,2,LC,4,002LX00851,i
002LX10450i,2,LC,4,002LX10450,i
002LX11966i,2,LC,4,002LX11966,i
002LX28203i,2,LC,4,002LX28203,i
003i,3,SR,0,003,i
003LX03731i,3,LC,4,003LX03731,i
003LX03829i,3,LC,4,003LX03829,i
003LX03932i,3,LC,4,003LX03932,i
003LX04109i,3,LC,4,003LX04109,i
003LX04349i,3,LC,4,003LX04349,i
003LX04558i,3,LC,4,003LX04558,i
003LX04689i,3,LC,4,003LX04689,i
003LX04848i,3,LC,4,003LX04848,i
003LX05227i,3,LC,4,003LX05227,i
003LX05275i,3,LC,4,003LX05275,i
004i,4,SR,0,004,i
004COKELSOi,4,SR,0,004COKELSO,i
005i,5,IS,1,005,i
005FD02108i,5,LC,4,005FD02108,i
005FD05919i,5,LC,4,005FD05919,i
005FD08132i,5,LC,4,005FD08132,i
005FD12892i,5,LC,4,005FD12892,i
005FD13483i,5,LC,4,005FD13483,i
005FD16768i,5,LC,4,005FD16768,i
005FD18893i,5,LC,4,005FD18893,i
005FI02108i,5,LC,4,005FI02108,i
005FI04070i,5,LC,4,005FI04070,i
005FI05919i,5,LC,4,005FI05919,i
005FI12879i,5,LC,4,005FI12879,i
005FI13474i,5,LC,4,005FI13474,i
005FI15406i,5,LC,4,005FI15406,i
005FI16049i,5,LC,4,005FI16049,i
005FI16742i,5,LC,4,005FI16742,i
005FI16812i,5,LC,4,005FI16812,i
005HD15463i,5,IS,1,005HD15463,i
005HD15602i,5,IS,1,005HD15602,i
005HI15420i,5,IS,1,005HI15420,i
005LX00105i,5,LC,4,005LX00105,i
005LX00158i,5,LC,4,005LX00158,i
005LX00235i,5,LC,4,005LX00235,i
005LX00291i,5,LC,4,005LX00291,i
005LX00307i,5,LC,4,005LX00307,i
005LX00436i,5,LC,4,005LX00436,i
005LX00539i,5,LC,4,005LX00539,i
005LX00724i,5,LC,4,005LX00724,i
005LX00747i,5,LC,4,005LX00747,i
005LX00951i,5,LC,4,005LX00951,i
005LX01417i,5,LC,4,005LX01417,i
005LX01680i,5,LC,4,005LX01680,i
005LX02108i,5,LC,4,005LX02108,i
005LX02272i,5,LC,4,005LX02272,i
005LX02770i,5,LC,4,005LX02770,i
005LX02984i,5,LC,4,005LX02984,i
005LX03064i,5,LC,4,005LX03064,i
005LX03228i,5,LC,4,005LX03228,i
005LX03697i,5,LC,4,005LX03697,i
005LX03988i,5,LC,4,005LX03988,i
005LX04070i,5,LC,4,005LX04070,i
005LX04266i,5,LC,4,005LX04266,i
005LX04613i,5,LC,4,005LX04613,i
005LX04797i,5,LC,4,005LX04797,i
005LX05265i,5,LC,4,005LX05265,i
005LX05734i,5,LC,4,005LX05734,i
005LX06091i,5,LC,4,005LX06091,i
005LX06841i,5,LC,4,005LX06841,i
005LX07105i,5,LC,4,005LX07105,i
005LX07278i,5,LC,4,005LX07278,i
005LX07471i,5,LC,4,005LX07471,i
005LX07655i,5,LC,4,005LX07655,i
005LX07797i,5,LC,4,005LX07797,i
005LX07908i,5,LC,4,005LX07908,i
005LX08132i,5,LC,4,005LX08132,i
005LX08273i,5,LC,4,005LX08273,i
005LX08836i,5,LC,4,005LX08836,i
005LX09521i,5,LC,4,005LX09521,i
005LX09928i,5,LC,4,005LX09928,i
005LX10130i,5,LC,4,005LX10130,i
005LX10279i,5,LC,4,005LX10279,i
005LX10523i,5,LC,4,005LX10523,i
005LX10545i,5,LC,4,005LX10545,i
005LX10745i,5,LC,4,005LX10745,i
005LX10839i,5,LC,4,005LX10839,i
005LX10914i,5,LC,4,005LX10914,i
005LX11194i,5,LC,4,005LX11194,i
005LX11409i,5,LC,4,005LX11409,i
005LX11670i,5,LC,4,005LX11670,i
005LX11796i,5,LC,4,005LX11796,i
005LX11901i,5,LC,4,005LX11901,i
005LX12087i,5,LC,4,005LX12087,i
005LX12268i,5,LC,4,005LX12268,i
005LX12358i,5,LC,4,005LX12358,i
005LX12464i,5,LC,4,005LX12464,i
005LX12586i,5,LC,4,005LX12586,i
005LX12748i,5,LC,4,005LX12748,i
005LX12892i,5,LC,4,005LX12892,i
005LX12959i,5,LC,4,005LX12959,i
005LX13069i,5,LC,4,005LX13069,i
005LX13183i,5,LC,4,005LX13183,i
005LX13487i,5,LC,4,005LX13487,i
005LX13503i,5,LC,4,005LX13503,i
005LX13609i,5,LC,4,005LX13609,i
005LX13745i,5,LC,4,005LX13745,i
005LX14383i,5,LC,4,005LX14383,i
005LX14402i,5,LC,4,005LX14402,i
005LX14681i,5,LC,4,005LX14681,i
005LX15118i,5,LC,4,005LX15118,i
005LX15226i,5,LC,4,005LX15226,i
005LX15465i,5,LC,4,005LX15465,i
005LX15598i,5,LC,4,005LX15598,i
005LX15801i,5,LC,4,005LX15801,i
005LX16121i,5,LC,4,005LX16121,i
005LX16297i,5,LC,4,005LX16297,i
005LX16302i,5,LC,4,005LX16302,i
005LX16462i,5,LC,4,005LX16462,i
005LX16620i,5,LC,4,005LX16620,i
005LX16812i,5,LC,4,005LX16812,i
005LX16938i,5,LC,4,005LX16938,i
005LX16963i,5,LC,4,005LX16963,i
005LX17025i,5,LC,4,005LX17025,i
005LX17064i,5,LC,4,005LX17064,i
005LX17122i,5,LC,4,005LX17122,i
005LX17150i,5,LC,4,005LX17150,i
005LX17276i,5,LC,4,005LX17276,i
005LX17383i,5,LC,4,005LX17383,i
005LX17552i,5,LC,4,005LX17552,i
005LX17613i,5,LC,4,005LX17613,i
005LX17827i,5,LC,4,005LX17827,i
005LX17929i,5,LC,4,005LX17929,i
005LX18063i,5,LC,4,005LX18063,i
005LX18071i,5,LC,4,005LX18071,i
005LX18390i,5,LC,4,005LX18390,i
005LX18415i,5,LC,4,005LX18415,i
005LX18643i,5,LC,4,005LX18643,i
005LX19266i,5,LC,4,005LX19266,i
005LX19363i,5,LC,4,005LX19363,i
005LX19402i,5,LC,4,005LX19402,i
005LX19481i,5,LC,4,005LX19481,i
005LX19911i,5,LC,4,005LX19911,i
005LX20078i,5,LC,4,005LX20078,i
005LX20247i,5,LC,4,005LX20247,i
005LX20867i,5,LC,4,005LX20867,i
005LX21031i,5,LC,4,005LX21031,i
005LX21266i,5,LC,4,005LX21266,i
005LX21504i,5,LC,4,005LX21504,i
005LX21856i,5,LC,4,005LX21856,i
005LX22107i,5,LC,4,005LX22107,i
005LX22395i,5,LC,4,005LX22395,i
005LX22514i,5,LC,4,005LX22514,i
005LX22639i,5,LC,4,005LX22639,i
005LX22773i,5,LC,4,005LX22773,i
005LX22887i,5,LC,4,005LX22887,i
005LX23121i,5,LC,4,005LX23121,i
005LX23283i,5,LC,4,005LX23283,i
005LX23639i,5,LC,4,005LX23639,i
005LX24093i,5,LC,4,005LX24093,i
005LX24286i,5,LC,4,005LX24286,i
005LX25073i,5,LC,4,005LX25073,i
005LX25297i,5,LC,4,005LX25297,i
005LX25379i,5,LC,4,005LX25379,i
005LX25482i,5,LC,4,005LX25482,i
005LX25621i,5,LC,4,005LX25621,i
005LX25698i,5,LC,4,005LX25698,i
005LX25766i,5,LC,4,005LX25766,i
005LX26013i,5,LC,4,005LX26013,i
005LX26257i,5,LC,4,005LX26257,i
005LX26346i,5,LC,4,005LX26346,i
005LX26598i,5,LC,4,005LX26598,i
005LX27024i,5,LC,4,005LX27024,i
005LX27620i,5,LC,4,005LX27620,i
005RL005EXPi,5,IS,1,005RL005EXP,i
006i,6,SR,0,006,i
007i,7,SR,0,007,i
007LX05778i,7,LC,4,007LX05778,i
008i,8,SR,0,008,i
008LX00739i,8,LC,4,008LX00739,i
009i,9,SR,0,009,i
009FI01557i,9,LC,4,009FI01557,i
009LX00956i,9,LC,4,009LX00956,i
009SPSUMASi,SPUR 9,SR,0,009SPSUMAS,i
010i,10,SR,0,010,i
011i,11,SR,0,011,i
012i,12,US,2,012,i
012COABERDNi,12,US,2,012COABERDN,i
012LX00941i,12,LC,4,012LX00941,i
012LX01024i,12,LC,4,012LX01024,i
012LX02019i,12,LC,4,012LX02019,i
012LX02096i,12,LC,4,012LX02096,i
012LX20156i,12,LC,4,012LX20156,i
012LX20250i,12,LC,4,012LX20250,i
012LX29239i,12,LC,4,012LX29239,i
012LX29536i,12,LC,4,012LX29536,i
012LX33533i,12,LC,4,012LX33533,i
012LX33652i,12,LC,4,012LX33652,i
012LX33974i,12,LC,4,012LX33974,i
014i,14,SR,0,014,i
014FI01500i,14,LC,4,014FI01500,i
014LX00103i,14,LC,4,014LX00103,i
014LX00299i,14,LC,4,014LX00299,i
014LX00435i,14,LC,4,014LX00435,i
014LX00557i,14,LC,4,014LX00557,i
014LX00852i,14,LC,4,014LX00852,i
014LX01009i,14,LC,4,014LX01009,i
014LX01240i,14,LC,4,014LX01240,i
014LX01500i,14,LC,4,014LX01500,i
014SPMARYHLi,SPUR 14,SR,0,014SPMARYHL,i
016i,16,SR,0,016,i
016ARi,ALT 16,SR,0,016AR,i
016FD00251i,16,LC,4,016FD00251,i
016FI00251i,16,LC,4,016FI00251,i
016FI00348i,16,LC,4,016FI00348,i
016LX00041i,16,LC,4,016LX00041,i
016LX00114i,16,LC,4,016LX00114,i
016LX00251i,16,LC,4,016LX00251,i
016LX00348i,16,LC,4,016LX00348,i
016LX00363i,16,LC,4,016LX00363,i
016LX00467i,16,LC,4,016LX00467,i
016LX00877i,16,LC,4,016LX00877,i
016LX01074i,16,LC,4,016LX01074,i
016LX01201i,16,LC,4,016LX01201,i
016LX01486i,16,LC,4,016LX01486,i
016LX02010i,16,LC,4,016LX02010,i
016LX02261i,16,LC,4,016LX02261,i
016LX02514i,16,LC,4,016LX02514,i
016LX02669i,16,LC,4,016LX02669,i
016SPGORSTi,SPUR 16,SR,0,016SPGORST,i
017i,17,SR,0,017,i
017FD04864i,90,LC,4,017FD04864,i
017LX05473i,17,LC,4,017LX05473,i
018i,18,SR,0,018,i
018LX00077i,18,LC,4,018LX00077,i
018LX00268i,18,LC,4,018LX00268,i
018LX00382i,18,LC,4,018LX00382,i
018LX00415i,18,LC,4,018LX00415,i
018LX00641i,18,LC,4,018LX00641,i
018LX00877i,18,LC,4,018LX00877,i
018LX01312i,18,LC,4,018LX01312,i
018LX01569i,18,LC,4,018LX01569,i
018LX01799i,18,LC,4,018LX01799,i
018LX02034i,18,LC,4,018LX02034,i
019i,19,SR,0,019,i
020i,20,SR,0,020,i
020SPANACRTi,SPUR 20,SR,0,020SPANACRT,i
021i,21,SR,0,021,i
022i,22,SR,0,022,i
